latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
27.29284,-80.47982,307.45,0.47,0.64,2022-09-07,0618,N,nominal,2.0NRT,291.83,1.68,N
27.29068,-80.48016,307.74,0.47,0.64,2022-09-07,0618,N,nominal,2.0NRT,291.91,0.91,N
23.15215,-81.8821,304.54,0.52,0.67,2022-09-07,0620,N,nominal,2.0NRT,286.7,1.63,N
23.09076,-81.27098,314.68,0.47,0.64,2022-09-07,0620,N,nominal,2.0NRT,287.51,2.27,N
19.79117,-71.51662,345.14,0.39,0.36,2022-09-07,0620,N,nominal,2.0NRT,294.21,6.69,N
18.92697,-70.35255,333.67,0.38,0.36,2022-09-07,0620,N,nominal,2.0NRT,293.12,3.65,N
18.92754,-70.35619,306.64,0.38,0.36,2022-09-07,0620,N,nominal,2.0NRT,290.15,2.14,N
18.92366,-70.35316,302.38,0.38,0.36,2022-09-07,0620,N,nominal,2.0NRT,289.09,1.1,N
18.31692,-71.22997,308.12,0.38,0.36,2022-09-07,0620,N,nominal,2.0NRT,292.19,1.39,N
48.53582,-71.74992,295.02,0.5,0.49,2022-09-07,0612,N,nominal,2.0NRT,280.28,0.62,N
46.75794,-71.19341,295.94,0.45,0.47,2022-09-07,0612,N,nominal,2.0NRT,285.9,0.79,N
46.04177,-73.1475,296.95,0.55,0.51,2022-09-07,0612,N,nominal,2.0NRT,286.91,2.6,N
46.04133,-73.14018,296.53,0.55,0.51,2022-09-07,0612,N,nominal,2.0NRT,286.32,1.36,N
46.04637,-73.1459,299.5,0.55,0.51,2022-09-07,0612,N,nominal,2.0NRT,288.32,1.37,N
46.04161,-73.1465,300.48,0.55,0.51,2022-09-07,0612,N,nominal,2.0NRT,286.8,1.37,N
45.27873,-66.01819,313.5,0.42,0.38,2022-09-07,0612,N,nominal,2.0NRT,284.6,1.83,N
45.83747,-73.25316,309.97,0.56,0.51,2022-09-07,0612,N,nominal,2.0NRT,287.13,2.43,N
45.83784,-73.25385,311.56,0.55,0.51,2022-09-07,0612,N,nominal,2.0NRT,286.93,2.11,N
45.61974,-71.60663,297.36,0.46,0.47,2022-09-07,0612,N,nominal,2.0NRT,283.81,0.82,N
45.62049,-71.60641,297.94,0.46,0.47,2022-09-07,0612,N,nominal,2.0NRT,283.83,0.78,N
45.11259,-73.01261,300.98,0.53,0.5,2022-09-07,0614,N,nominal,2.0NRT,286.27,0.92,N
42.94111,-82.4202,298.41,0.75,0.77,2022-09-07,0614,N,nominal,2.0NRT,285.82,1.67,N
41.45619,-81.68393,305.5,0.68,0.74,2022-09-07,0614,N,nominal,2.0NRT,284.28,3.22,N
41.45617,-81.67513,296.52,0.68,0.74,2022-09-07,0614,N,nominal,2.0NRT,283.94,1.73,N
41.45837,-81.68327,305.04,0.68,0.74,2022-09-07,0614,N,nominal,2.0NRT,284.21,1.4,N
41.4583,-81.67446,297.27,0.68,0.74,2022-09-07,0614,N,nominal,2.0NRT,283.56,1.4,N
40.75577,-81.43567,296,0.66,0.73,2022-09-07,0614,N,nominal,2.0NRT,282.38,1.22,N
40.75557,-81.43347,295.64,0.66,0.73,2022-09-07,0614,N,nominal,2.0NRT,282.7,1.11,N
38.77808,-79.39491,302.44,0.5,0.66,2022-09-07,0614,N,nominal,2.0NRT,282.83,1.65,N
38.59961,-82.82928,295.55,0.76,0.77,2022-09-07,0614,N,nominal,2.0NRT,278.38,0.89,N
38.59916,-82.83311,295.12,0.76,0.77,2022-09-07,0614,N,nominal,2.0NRT,278.56,0.81,N
38.37834,-78.8858,301.36,0.47,0.64,2022-09-07,0614,N,nominal,2.0NRT,283.93,1.19,N
36.35722,-76.80712,336.12,0.35,0.56,2022-09-07,0616,N,nominal,2.0NRT,288.62,2.18,N
36.35196,-76.80763,304.39,0.35,0.56,2022-09-07,0616,N,nominal,2.0NRT,288.24,2.18,N
36.06726,-77.82253,300.74,0.39,0.6,2022-09-07,0616,N,nominal,2.0NRT,276.04,0.81,N
35.71618,-78.31821,303.19,0.42,0.61,2022-09-07,0616,N,nominal,2.0NRT,288.02,0.61,N
35.50716,-80.33333,299.86,0.54,0.68,2022-09-07,0616,N,nominal,2.0NRT,286.42,0.69,N
35.50084,-80.33381,301.1,0.54,0.68,2022-09-07,0616,N,nominal,2.0NRT,286.15,1.16,N
33.01218,-79.89104,305.68,0.49,0.65,2022-09-07,0616,N,nominal,2.0NRT,288.51,1.55,N
33.01191,-79.88564,304.33,0.48,0.65,2022-09-07,0616,N,nominal,2.0NRT,288.66,1.55,N
33.00557,-79.88079,305.79,0.48,0.65,2022-09-07,0616,N,nominal,2.0NRT,288.58,1.19,N
33.01094,-79.88635,305.73,0.48,0.65,2022-09-07,0616,N,nominal,2.0NRT,288.46,1.44,N
33.00457,-79.88147,308.93,0.48,0.65,2022-09-07,0616,N,nominal,2.0NRT,288.78,1.57,N
30.28172,-81.98282,303.55,0.61,0.71,2022-09-07,0618,N,nominal,2.0NRT,285.63,0.56,N
48.84425,-64.65274,309.12,0.42,0.37,2022-09-07,0612,N,nominal,2.0NRT,280.17,1.16,N
49.45545,-82.51261,297.88,0.77,0.78,2022-09-07,0612,N,nominal,2.0NRT,280.5,0.76,N
47.6781,-102.50288,301.05,0.44,0.62,2022-09-07,0754,N,nominal,2.0NRT,284.77,0.26,N
47.55643,-102.54623,296.31,0.44,0.62,2022-09-07,0754,N,nominal,2.0NRT,286.02,0.49,N
47.55751,-102.546,296.56,0.44,0.62,2022-09-07,0754,N,nominal,2.0NRT,285.72,0.55,N
47.51864,-102.90194,304.05,0.46,0.63,2022-09-07,0754,N,nominal,2.0NRT,287.43,1,N
47.48921,-102.91557,302.73,0.46,0.63,2022-09-07,0754,N,nominal,2.0NRT,287.14,0.56,N
46.73145,-92.07548,316.88,0.45,0.39,2022-09-07,0754,N,nominal,2.0NRT,290.15,1.54,N
47.48664,-102.91413,302.36,0.46,0.63,2022-09-07,0754,N,nominal,2.0NRT,287.46,0.56,N
45.07063,-83.40295,319.86,0.48,0.4,2022-09-07,0754,N,nominal,2.0NRT,287.64,1.88,N
43.23429,-76.65635,299.95,0.35,0.57,2022-09-07,0754,N,nominal,2.0NRT,279.21,0.04,N
45.69126,-91.83711,303.08,0.44,0.38,2022-09-07,0754,N,nominal,2.0NRT,287.87,0.27,N
43.27075,-79.81054,300.33,0.49,0.49,2022-09-07,0754,N,nominal,2.0NRT,286.42,1.45,N
43.265,-79.80659,306.25,0.49,0.49,2022-09-07,0754,N,nominal,2.0NRT,287.61,1.45,N
43.26069,-79.80859,306.77,0.49,0.49,2022-09-07,0754,N,nominal,2.0NRT,286.63,1.28,N
43.25782,-79.81647,302.05,0.49,0.49,2022-09-07,0754,N,nominal,2.0NRT,286.24,1.28,N
43.29363,-79.98369,298.2,0.48,0.48,2022-09-07,0754,N,nominal,2.0NRT,285.93,0.44,N
43.28935,-79.98563,295.81,0.48,0.48,2022-09-07,0754,N,nominal,2.0NRT,285.36,0.44,N
44.28925,-88.33947,298.49,0.38,0.36,2022-09-07,0754,N,nominal,2.0NRT,286.11,0.22,N
44.16784,-87.70448,298.95,0.39,0.36,2022-09-07,0754,N,nominal,2.0NRT,286.87,0.5,N
42.81839,-81.32383,304.36,0.43,0.46,2022-09-07,0754,N,nominal,2.0NRT,285.85,0.76,N
42.94946,-82.41975,300.01,0.38,0.43,2022-09-07,0754,N,nominal,2.0NRT,288.83,1.24,N
42.94458,-82.41679,310.64,0.38,0.43,2022-09-07,0754,N,nominal,2.0NRT,287.06,0.89,N
42.90036,-82.45144,298.04,0.38,0.43,2022-09-07,0754,N,nominal,2.0NRT,287.34,1.21,N
43.70332,-88.38377,311.21,0.39,0.36,2022-09-07,0754,N,nominal,2.0NRT,288.06,1.26,N
42.3105,-82.04987,307.93,0.41,0.45,2022-09-07,0754,N,nominal,2.0NRT,285.89,0.64,N
42.298,-83.1525,328.47,0.55,0.43,2022-09-07,0754,N,nominal,2.0NRT,290.98,5.31,N
42.29941,-83.15904,302.48,0.55,0.43,2022-09-07,0754,N,nominal,2.0NRT,288.79,5.31,N
42.29701,-83.16704,301.39,0.55,0.43,2022-09-07,0754,N,nominal,2.0NRT,285.13,1.28,N
