latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.39734,-155.27109,326.43,0.68,0.74,2023-02-09,0030,N,nominal,2.0NRT,284.03,4.82,D
19.40375,-155.27779,367,0.68,0.74,2023-02-09,0030,N,high,2.0NRT,302.47,76.69,D
19.4043,-155.27115,339.42,0.68,0.74,2023-02-09,0030,N,nominal,2.0NRT,289.44,76.69,D
19.4026,-155.29184,350.28,0.68,0.74,2023-02-09,0030,N,nominal,2.0NRT,296.48,106.92,D
19.40482,-155.26476,357.41,0.68,0.74,2023-02-09,0030,N,low,2.0NRT,282.76,14.8,D
19.4032,-155.2845,367,0.68,0.74,2023-02-09,0030,N,low,2.0NRT,338.85,106.92,D
19.41008,-155.28549,367,0.68,0.74,2023-02-09,0030,N,high,2.0NRT,304.58,106.92,D
19.41178,-155.26491,341.26,0.68,0.74,2023-02-09,0030,N,nominal,2.0NRT,283.69,14.8,D
19.41122,-155.27164,328.21,0.68,0.74,2023-02-09,0030,N,nominal,2.0NRT,288.34,76.69,D
19.41067,-155.2784,346.65,0.68,0.74,2023-02-09,0030,N,nominal,2.0NRT,293.93,76.69,D
19.41018,-155.28008,367,0.68,0.74,2023-02-09,0030,N,high,2.0NRT,297.42,34.5,D
19.41121,-155.26651,344.7,0.68,0.74,2023-02-09,0030,N,nominal,2.0NRT,284.9,14.38,D
19.4107,-155.27325,326.91,0.68,0.74,2023-02-09,0030,N,nominal,2.0NRT,289.37,14.38,D
19.40964,-155.28725,356.9,0.68,0.74,2023-02-09,0030,N,nominal,2.0NRT,304.07,34.5,D
45.99046,-73.66292,331.43,0.35,0.57,2023-02-09,0607,N,nominal,2.0NRT,266.03,1.98,N
45.98698,-73.6601,331.4,0.35,0.57,2023-02-09,0607,N,nominal,2.0NRT,266.13,2.69,N
39.94,-76.81786,302.69,0.46,0.64,2023-02-09,0607,N,nominal,2.0NRT,268.88,1.8,N
39.58781,-75.637,298.95,0.4,0.6,2023-02-09,0607,N,nominal,2.0NRT,279.14,1.68,N
37.32438,-76.6512,299.94,0.43,0.62,2023-02-09,0609,N,nominal,2.0NRT,272.5,0.83,N
36.7784,-76.31762,296.31,0.41,0.61,2023-02-09,0609,N,nominal,2.0NRT,274.91,1.03,N
35.50238,-80.33403,295.41,0.67,0.74,2023-02-09,0609,N,nominal,2.0NRT,280.5,1.1,N
34.99584,-79.14783,299.96,0.57,0.69,2023-02-09,0609,N,nominal,2.0NRT,279.07,1.55,N
33.96518,-81.05079,295.15,0.72,0.76,2023-02-09,0609,N,nominal,2.0NRT,282.01,1.43,N
33.96156,-81.05244,303.09,0.72,0.76,2023-02-09,0609,N,nominal,2.0NRT,282.45,1.16,N
33.01197,-79.88551,296.01,0.61,0.71,2023-02-09,0609,N,nominal,2.0NRT,283.26,1.17,N
26.45386,-77.07791,301.63,0.36,0.58,2023-02-09,0612,N,nominal,2.0NRT,288.83,0.12,N
22.97441,-81.92387,300.78,0.67,0.73,2023-02-09,0614,N,nominal,2.0NRT,288.61,1.09,N
22.82725,-81.59277,325.88,0.64,0.72,2023-02-09,0614,N,nominal,2.0NRT,290.13,3.44,N
